timestamp,project_occupation,status,count
05/05/2016,None,new,8
,,,
05/05/2016,None,open,67
,,,
05/05/2016,Sales and marketing support,closed,719
,,,
05/05/2016,Sales and marketing support,new,740
,,,
05/05/2016,Sales and marketing support,open,6607
,,,
05/05/2016,Software development and technology,closed,2714
,,,
05/05/2016,Software development and technology,new,2763
,,,
05/05/2016,Software development and technology,open,22829
,,,
05/05/2016,Writing and translation,closed,997
,,,
05/05/2016,Writing and translation,new,978
,,,
05/05/2016,Writing and translation,open,10298
,,,
06/05/2016,Business services,closed,167
,,,
06/05/2016,Business services,new,177
,,,
06/05/2016,Business services,open,3120
,,,
06/05/2016,Clerical and data entry,closed,1715
,,,
06/05/2016,Clerical and data entry,new,1561
,,,
06/05/2016,Clerical and data entry,open,9098
,,,
06/05/2016,Creative and multimedia,closed,1878
,,,
06/05/2016,Creative and multimedia,new,1753
,,,
06/05/2016,Creative and multimedia,open,11734
,,,
06/05/2016,None,closed,13
,,,
06/05/2016,None,new,13
,,,
06/05/2016,None,open,62
,,,
06/05/2016,Sales and marketing support,closed,686
,,,
06/05/2016,Sales and marketing support,new,667
,,,
06/05/2016,Sales and marketing support,open,6661
,,,
06/05/2016,Software development and technology,closed,2864
,,,
06/05/2016,Software development and technology,new,2764
,,,
06/05/2016,Software development and technology,open,22728
,,,
06/05/2016,Writing and translation,closed,958
,,,
06/05/2016,Writing and translation,new,951
,,,
06/05/2016,Writing and translation,open,10318
,,,
07/05/2016,Business services,closed,126
,,,
07/05/2016,Business services,new,121
,,,
07/05/2016,Business services,open,3171
,,,
07/05/2016,Clerical and data entry,closed,1434
,,,
07/05/2016,Clerical and data entry,new,1719
,,,
07/05/2016,Clerical and data entry,open,9225
,,,
07/05/2016,Creative and multimedia,closed,1696
,,,
07/05/2016,Creative and multimedia,new,1537
,,,
07/05/2016,Creative and multimedia,open,11791
,,,
07/05/2016,None,closed,13
,,,
07/05/2016,None,new,17
,,,
07/05/2016,None,open,62
,,,
07/05/2016,Sales and marketing support,closed,587
,,,
07/05/2016,Sales and marketing support,new,564
,,,
07/05/2016,Sales and marketing support,open,6741
,,,
07/05/2016,Software development and technology,closed,2400
,,,
07/05/2016,Software development and technology,new,2602
,,,
07/05/2016,Software development and technology,open,23092
,,,
07/05/2016,Writing and translation,closed,889
,,,
07/05/2016,Writing and translation,new,954
,,,
07/05/2016,Writing and translation,open,10380
,,,
08/05/2016,Business services,closed,110
,,,
08/05/2016,Business services,new,86
,,,
08/05/2016,Business services,open,3182
,,,
08/05/2016,Clerical and data entry,closed,1836
,,,
08/05/2016,Clerical and data entry,new,1976
,,,
08/05/2016,Clerical and data entry,open,9108
,,,
08/05/2016,Creative and multimedia,closed,1250
,,,
08/05/2016,Creative and multimedia,new,1162
,,,
08/05/2016,Creative and multimedia,open,12078
,,,
08/05/2016,None,closed,13
,,,
08/05/2016,None,new,10
,,,
08/05/2016,None,open,66
,,,
08/05/2016,Sales and marketing support,closed,367
,,,
08/05/2016,Sales and marketing support,new,432
,,,
08/05/2016,Sales and marketing support,open,6938
,,,
08/05/2016,Software development and technology,closed,1938
,,,
08/05/2016,Software development and technology,new,1841
,,,
08/05/2016,Software development and technology,open,23756
,,,
08/05/2016,Writing and translation,closed,676
,,,
08/05/2016,Writing and translation,new,681
,,,
08/05/2016,Writing and translation,open,10658
,,,
09/05/2016,Business services,closed,85
,,,
09/05/2016,Business services,new,93
,,,
09/05/2016,Business services,open,3183
,,,
09/05/2016,Clerical and data entry,closed,1118
,,,
09/05/2016,Clerical and data entry,new,1069
