timestamp	project_occupation	status	count
2016-05-07	Creative and multimedia	open	11791
2016-05-07	None	closed	13
2016-05-07	None	new	17
2016-05-07	None	open	62
2016-05-07	Sales and marketing support	closed	587
2016-05-07	Sales and marketing support	new	564
2016-05-07	Sales and marketing support	open	6741
2016-05-07	Software development and technology	closed	2400
2016-05-07	Software development and technology	new	2602
2016-05-07	Software development and technology	open	23092
2016-05-07	Writing and translation	closed	889
2016-05-07	Writing and translation	new	954
2016-05-07	Writing and translation	open	10380
2016-05-08	Business services	closed	110
2016-05-08	Business services	new	86
2016-05-08	Business services	open	3182
2016-05-08	Clerical and data entry	closed	1836
2016-05-08	Clerical and data entry	new	1976
2016-05-08	Clerical and data entry	open	9108
2016-05-08	Creative and multimedia	closed	1250
2016-05-08	Creative and multimedia	new	1162
2016-05-08	Creative and multimedia	open	12078
2016-05-08	None	closed	13
2016-05-08	None	new	10
2016-05-08	None	open	66
2016-05-08	Sales and marketing support	closed	367
2016-05-08	Sales and marketing support	new	432
2016-05-08	Sales and marketing support	open	6938
2016-05-08	Software development and technology	closed	1938
2016-05-08	Software development and technology	new	1841
2016-05-08	Software development and technology	open	23756
2016-05-08	Writing and translation	closed	676
2016-05-08	Writing and translation	new	681
2016-05-08	Writing and translation	open	10658
2016-05-09	Business services	closed	85
2016-05-09	Business services	new	93
2016-05-09	Business services	open	3183
2016-05-09	Clerical and data entry	closed	1118
2016-05-09	Clerical and data entry	new	1069
2016-05-09	Clerical and data entry	open	9966
2016-05-09	Creative and multimedia	closed	1154
2016-05-09	Creative and multimedia	new	1038
2016-05-09	Creative and multimedia	open	12086
2016-05-09	None	closed	8
2016-05-09	None	new	11
2016-05-09	None	open	68
2016-05-09	Sales and marketing support	closed	456
2016-05-09	Sales and marketing support	new	452
2016-05-09	Sales and marketing support	open	6914
2016-05-09	Software development and technology	closed	1660
2016-05-09	Software development and technology	new	1474
2016-05-09	Software development and technology	open	23937
2016-05-09	Writing and translation	closed	664
2016-05-09	Writing and translation	new	572
2016-05-09	Writing and translation	open	10675
2016-05-10	Business services	closed	121
2016-05-10	Business services	new	149
2016-05-10	Business services	open	3155
2016-05-10	Clerical and data entry	closed	1581
2016-05-10	Clerical and data entry	new	1585
2016-05-10	Clerical and data entry	open	9454
2016-05-10	Creative and multimedia	closed	1827
2016-05-10	Creative and multimedia	new	1730
2016-05-10	Creative and multimedia	open	11297
2016-05-10	None	closed	10
2016-05-10	None	new	18
2016-05-10	None	open	69
2016-05-10	Sales and marketing support	closed	683
2016-05-10	Sales and marketing support	new	711
2016-05-10	Sales and marketing support	open	6683
2016-05-10	Software development and technology	closed	2549
2016-05-10	Software development and technology	new	2561
2016-05-10	Software development and technology	open	22862
2016-05-10	Writing and translation	closed	989
2016-05-10	Writing and translation	new	897
2016-05-10	Writing and translation	open	10258
2016-05-11	Business services	closed	148
2016-05-11	Business services	new	150
2016-05-11	Business services	open	3156
2016-05-11	Clerical and data entry	closed	1659
2016-05-11	Clerical and data entry	new	1574
2016-05-11	Clerical and data entry	open	9381
2016-05-11	Creative and multimedia	closed	1853
2016-05-11	Creative and multimedia	new	1951
2016-05-11	Creative and multimedia	open	11174
2016-05-11	None	closed	20
2016-05-11	None	new	13
2016-05-11	None	open	67
2016-05-11	Sales and marketing support	closed	790
2016-05-11	Sales and marketing support	new	780
2016-05-11	Sales and marketing support	open	6604
