longitude,latitude
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
9.498262,47.806368
7.509455,49.607375
7.509455,49.607375
7.509455,49.607375
7.509455,49.607375
11.02988,50.984768
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
10.709288,50.946919
10.709288,50.946919
2.130122,48.801408
2.560984,48.833953
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
10.810775,50.747635
10.810775,50.747635
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.045754,42.331427
-83.39771,41.916434
